company_id,company,count
4042,Astral Films,1
2743,Astral Media,6
6306,Asylum,1
10571,Asylum Films,1
373,Asymmetrical Productions,2
81134,Atchity Entertainment International (AEI),2
3267,Atlantic Entertainment Group,1
5387,Atlantic Pictures,1
22310,Atlantic Swiss Productions,1
11357,Atlantic Television,1
5564,Atlantis Pictures,1
30033,Atlas 2 Productions,1
67480,Atlas 3 Productions,1
507,Atlas Entertainment,13
54051,Atman Entertainment,1
2995,Atmosphere Entertainment MM,6
76907,Atomic Monster,2
58260,Attitude Pinículas y Films A.I.E.,1
53200,Audiovisual Aval SGR,1
36205,Audley Films,1
5729,Audley Films LLP,1
3322,August Entertainment,2
65834,August Heart Entertainment,1
1380,Australian Film Finance Corporation,1
8724,Australian Film Finance Corporation (AFFC),6
28163,Automatik Entertainment,1
7625,Automatik Entertainment,6
2326,Autonomous,1
2525,Avalanche Productions,1
2517,Avenging Conscience,1
251,Avenue Pictures Productions,1
91542,Aver Media,1
60022,Aversano Films,1
1565,Avery Pix,5
31828,Avi Arad Productions,1
40642,Avikoo Studios,1
100,Avon Production,1
21106,Axon Films,1
10619,Azoff Entertainment,1
73188,Aztec Musique,1
52593,B Media 2012,1
20088,B.D.S. Productions Inc.,1
11353,B.H. Finance C.V.,1
37757,B.Sting Entertainment,1
69434,B24,1
41602,BB Film Productions,1
5996,BBC,1
8090,BBC Earth,1
53498,BBC Earth MD (WWD),1
288,BBC Films,38
3712,BBC Scotland,1
50510,BBC Storyville,1
3164,BBC Worldwide,1
10290,BCDF Pictures,1
73625,BH Tilt,1
225,BIM Distribuzione,6
19478,BK,1
11963,BMS Finance,1
30531,BN Films,1
11548,BNDES,1
46136,BR Group,1
28361,BSM Studio,1
636,Babbo Inc.,1
57628,Babcock & Brown,1
3366,Babe Films,1
93522,Babe Ruthless Productions,1
19481,Babelsberg Film,4
20656,Babieka,2
1219,Baby Cow Productions,2
93156,Baby Films,1
11259,Babylon,1
11260,Babylon Films Limited,1
208,Bac Films,5
7374,Back Lot Pictures,1
5381,Backup Films,2
26590,Backup Media,2
12649,Bad Cop Bad Cop Film Productions,1
9168,Bad Hat Harry Productions,12
11461,Bad Robot,10
10930,Bagdasarian Productions,3
36028,Bagman (2009),1
58849,Bago Pictures,1
12752,Bait Productions,1
58154,Baker's Dozen Productions,1
2234,Baldwin Entertainment Group,5
10026,Baleuko S.L.,1
38086,Ballpark Productions Partnership,1
10005,Balthazar Productions,1
11407,Baltimore Pictures,7
14719,Baltimore Spring Creek Pictures,1
16061,Baltimore Spring Creek Productions,5
20418,Banca Popolare di Vicenza,1
528,Bandai Visual Company,3
8403,Bandito Brothers,2
71901,Bandoola Productions,1
2878,Bangkok Dangerous,1
30301,Banque Populaire Images 9,2
1997,Banques Populaire Image 7,1
45726,Banter,1
6563,Barbarian Films,1
553,Barclays Mercantile Industrial Finance,2
44993,Barentsfilm,1
37854,Barmak Film,1
17032,Barry Mendel Productions,5
49972,Barunson,1
3645,Barwood Films,1
3242,Base 12 Productions,1
52860,Bates Entertainment,1
19718,Battlefield Productions,1
2108,Battleplan Productions,4
23423,Baumgarten Management and Productions (BMP),2
14652,Baumgarten Merims Productions,2
12968,Baumgarten-Prophet Entertainment,1
1704,Bavaria Film,4
33772,Bavaria Studios,1
6734,Bay Films,2
16062,Bayahibe Films Ltd.,1
7333,Bayerischer Rundfunk (BR),2
1038,Bazelevs Production,7
240,Bazmark Films,4
23201,Be Gentlemen Limited Partnership,1
39706,Be Your Own Hollywood,2
919,Beacon Communications,9
10157,Beacon Pictures,8
46339,Beagle Pug Films,2
15877,Beanca Films,1
2867,Bearing Fruit Entertainment,1
11755,Bece Canada Productions,1
1915,Becker International,1
20634,"Bedford Falls Company, The",3
348,Bedford Falls Productions,5
51753,Bedlam Pictures,1
5005,Bedlam Productions,2
2439,Bee Vine Pictures,1
6847,Beech Hill Films,1
14861,Before the Door Pictures,4
33088,Behavioral Problem Productions Ltd.,1
15866,Beijing Gallop Horse Film & TV Production,1
11553,Beijing Happy Pictures Cultural Communications Co.,1
21489,Beijing Heguchuan TV & Film,1
5636,Beijing Jinyinma Movie & TV Culture Co.,1
724,Beijing New Picture Film Co. Ltd.,5
11414,Beijing Poly-bona Film Publishing Company,1
45425,Beijing Silver Moon Productions,1
24923,Bekmambetov Projects Ltd.,1
788,Bel Air Entertainment,7
36612,Belhaven Limited,1
3308,Believe Entertainment,1
22481,Bell Broadcast and New Media Fund,1
48752,Bella Productions,1
2341,Belladonna Productions,2
32184,Belle Pictures,1
999,Belstar Productions,1
37015,Ben-Ami/Leeds Productions,1
6692,Benaroya Pictures,1
7620,Bend It Films,1
6363,BenderSpink,12
11175,Benderspink,1
2958,Bentley Filmgroup,1
77739,Bergsten Music,1
27711,Berlanti Productions,1
3194,Bernard Gayle Productions,1
10881,Bernd Eichinger Productions,1
51851,Berrick Filmproduktion,1
36186,Bersin Pictures,1
68064,"Best Picture Show Company, The",1
21606,Better Wide,1
267,Beverly Detroit,3
72689,Beverly Ridge Pictures,1
2332,Bi-polar Pictures,1
3519,Big Arty Productions,2
12808,Big Beach Films,5
36988,Big Book Media,1
23434,Big Bug Pictures,1
15055,Big Easy Pictures,1
3204,Big Idea Productions,2
6831,Big Indie Pictures,2
8406,Big Kid Pictures,3
79036,Big Lou House Productions,1
68,Big Primate Pictures,1
10893,Big Screen Productions,13
443,Big Talk Productions,5
4195,Big Ticket Productions,1
78806,Bill Graham Films,1
7058,Bill Kenwright Films,1
41680,Bill Plympton Studios,1
46060,Bill/Phillips,1
90185,BillBlock Media,2
6419,Biograf Jan Svěrák,1
30271,Birchwood Pictures,2
4342,Bird and a Bear Entertainment,1
7436,Birdsong Pictures,1
26671,Biride Productions,1
18521,Birka Holding,1
58262,Birnbaum / Barber Productions,2
23731,Birnbaum/Barber,1
20450,Biscayne Pictures,1
20420,Biscottificio Verona,1
59951,Bisgrove Entertainment,1
32719,Bitart New Media,1
2777,Black & White Productions,1
22146,Black Bear Pictures,3
73675,Black Diamond Pictures,1
42321,Black Entertainment Television (BET),1
33681,Black Label Media,1
53007,Black and Blu Entertainment,1
2087,Blackfriars Bridge Films,2
41905,Blackmagic Design Films,1
23588,Blank of the Dead Productions,1
1872,Bleiberg Entertainment,3
7330,Blind Spot Pictures Oy,1
10262,Blind Wink,1
37381,Blind Wink Productions,1
12236,Blinding Edge Pictures,8
84489,BlinkWorks Media,1
8186,Bliss Media,1
16028,Blizzard Entertainment,1
8504,Block / Hanson,1
539,Block 2 Pictures,2
51852,Blood & Chocolate Productions Ltd,1
20927,Blood & Wine Productions,1
52909,Bloodline Productions,1
32537,Blossom Films,1
2599,Blue Askew,1
24562,Blue Dot Productions,1
10671,Blue Flower Productions,1
3983,Blue Gardenia Productions,1
40263,Blue Guitar Films,1
28064,Blue Light,1
361,Blue Parrot Productions,1
57347,Blue Productions,1
53012,Blue Sea Productions,1
33680,Blue Sky Films,1
9383,Blue Sky Studios,9
2779,Blue Star Pictures,2
21839,Blue Star Productions,1
72017,Blue Trail Entertainment,1
67173,Blue Train Productions,1
766,Blue Tulip Productions,1
35304,Blue Tulip Productions,2
10230,Blue Wolf,3
49126,Blue Yonder Films,1
32299,Blue-Tongue Films,1
10970,Blueeyes Productions,1
13778,Bluegrass Films,5
27451,Bluegrass Films,2
2376,Blueprint Pictures,2
30037,Blueprint Pictures,1
78322,Bluewater Pictures,1
3172,Blumhouse Productions,22
73087,Blump International Films,1
12260,Bob Yari Productions,6
11144,Bobby Jones Films LLC,1
36212,Boies / Schiller Film Group,1
2266,Bold Films,10
15127,Boll KG,1
1062,Boll Kino Beteiligungs GmbH & Co. KG,3
51955,Bollywood Hollywood Production,1
28176,Bomar OOD,1
2570,Bona Fide Productions,6
8250,Bona International Film Group,1
66331,Bonne Pioche,1
68097,Bonnie Timmermann Productions,1
15113,Boo Productions,1
282,Bookshop Productions,1
2965,Boram Entertainment Inc.,1
10058,BorderLine Films,1
44242,Born of War,1
8606,Boréales,1
36685,Bottom Line Entertainment,1
65559,Bottom of the Ninth Productions,1
11349,Bourne Again,1
37432,Bow and Arrow Entertainment,1
12626,Boxing Cat Films,3
10958,Brad Grey Pictures,4
3581,Brad Krevoy & Steve Stabler production,1
84890,Brad Zions Films,1
19747,Brandywine Productions,7
13817,Brass Hat Films,2
21911,Brat Na Pont Productions,1
4971,Brave New Films,1
23005,Braveworld Productions,1
29098,Breaking Ball Films,1
5673,Breakup Productions,1
21523,Brian Barrett Pictures,1
90663,Brian Grazer/Scott Rudin Productions,1
12271,Brick Dust Productions LLC,1
19925,Bridget Johnson Films,1
17931,Bridgit Folman Film Gang,1
71899,Bright Cold Day Films,1
1063,Brightlight Pictures,8
56735,Brightside Entertainment,1
1606,Brillstein-Grey Entertainment,2
18811,Brink Films,1
38145,Bristol Automotive,1
2233,Bristol Bay Productions,3
3324,British Broadcasting Corporation (BBC),7
15278,British Broadcasting Corporation (BBC),4
48136,British Broadcasting Corporation (BBC) Television,1
10316,British Columbia Film,1
10889,British Film Council,1
8092,British Film Institute,1
7281,British Film Institute (BFI),3
871,British Screen,1
12745,British Screen Productions,1
20777,British Screen Productions,2
37618,Britt Allcroft Productions,1
49389,Broad Green Pictures,1
1756,Broadway Video,1
63924,Broken Chair Flickz,1
2773,Broken Lizard Industries,3
8000,Broken Road Productions,5
13240,Bron Studios,1
11342,Brood Syndicate,1
10672,Brooklyn Films II,1
49786,Brooks Media,1
5612,Brooksfilms,2
617,Brooksfilms Ltd.,1
3160,Brookstreet Pictures,2
3235,Brookwell-McNamara Entertainment,2
66930,Brothers Dowdle Productions,2
26423,BrownHouse Productions,1
12365,Brownstone Productions,2
5330,Bruin Grip Services,2
11250,Buckaroo Entertainment,4
32,Buena Vista,2
11200,Buena Vista Home Entertainment,1
7658,Buena Vista International Film Production France,1
6342,Bueprint Pictures,1
11517,Buffalo Gal Pictures,1
25432,Bull's Eye Entertainment,2
54850,Bulletproof Cupid,1
73952,Bullwinkle Studios,1
369,Bungalow 78 Productions,1
11600,Bungalow Productions,1
17106,Burg/Koules Productions,1
23938,Burke/Samples/Foster Productions,1
18346,Burn Later Productions,1
13818,Burnside Entertainment,1
59955,Burro Productions,1
8290,Busboy Productions,1
72943,Bushwick Factory,1
20644,Business Location Sudtirol Alto Adige,1
3864,Butcher's Run Films,1
1257,Butcher's Run Productions,1
49244,Buttercup Films Ltd.,1
11568,Butterfly Productions,1
17181,Byronic Pose Productions,1
61373,Bystander Films,1
2903,Bystorm Films,1
1101,Bésame Mucho Pictures,1
1898,Bórd Scannán na hÉireann,3
21905,C & L,1
3989,C&P Productions,1
7340,C-2 Pictures,2
85889,C.H.U.D. Productions,1
8291,C.R.G. International,1
11433,C.R.R.A.V. Nord Pas de Calais,1
7923,CAMERON MACKINTOSH,1
5490,CBS Films,12
13367,CDI,1
14309,CIP Filmproduktion GmbH,1
946,CJ Capital Investment,2
7036,CJ Entertainment,4
